row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
52,Male,28,Single,Master,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,3441,11179,1434,50,13,5,High,High,High,High,Good,Excellent,1,2,2,2,2,Yes,0,3,1,Yes,2
53,Female,44,Divorced,Doctor,Marketing,Sales,Sales Executive,Travel_Rarely,5454,4009,1488,75,21,1,High,Medium,High,Low,Good,Outstanding,5,9,3,1,3,Yes,1,2,2,No,4
54,Male,35,Married,College,Medical,Research & Development,Healthcare Representative,Non-Travel,9884,8302,1097,79,13,11,High,High,Medium,Low,Better,Excellent,2,10,0,2,3,Yes,1,3,3,No,4
55,Female,26,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,4157,21436,1443,47,19,23,High,High,Medium,Very High,Good,Excellent,7,5,2,0,0,Yes,1,2,2,No,2
56,Female,33,Single,College,Life Sciences,Research & Development,Research Director,Travel_Frequently,13458,15146,515,98,12,1,High,Low,High,Very High,Better,Excellent,1,15,14,8,12,Yes,0,1,3,No,15
57,Male,35,Married,Doctor,Life Sciences,Sales,Sales Executive,Travel_Frequently,9069,11031,853,71,22,18,Very High,Medium,High,Low,Good,Outstanding,1,9,8,1,8,No,1,3,3,No,9
58,Female,35,Married,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4014,16002,1142,30,15,23,High,High,High,Low,Better,Excellent,3,4,2,2,2,Yes,1,3,1,No,2
59,Male,31,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,5915,9528,655,48,22,7,Very High,Very High,High,Very High,Good,Outstanding,3,10,7,1,7,No,1,3,2,No,7
60,Male,37,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,5993,2689,1115,51,18,1,High,Low,Medium,High,Best,Excellent,1,7,5,0,7,No,1,2,2,No,7
61,Male,32,Married,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,6162,10877,427,33,22,1,Medium,Low,High,Very High,Better,Outstanding,1,9,8,7,8,Yes,1,3,2,No,9
62,Female,38,Single,Doctor,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,2406,5456,653,50,11,29,Very High,Very High,High,Very High,Better,Excellent,1,10,3,9,9,No,0,2,2,No,10
63,Female,50,Divorced,College,Medical,Research & Development,Research Director,Travel_Rarely,18740,16701,989,43,12,7,Very High,Medium,Medium,High,Good,Excellent,5,29,3,13,8,Yes,1,2,5,No,27
64,Female,59,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,7637,2354,1435,99,11,25,Very High,Low,High,Low,Good,Excellent,7,28,16,7,9,No,0,3,3,No,21
65,Female,36,Divorced,Bachelor,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,10096,8202,1223,59,13,8,Medium,High,High,High,Better,Excellent,1,17,14,12,8,No,3,2,3,No,17
66,Female,55,Divorced,Bachelor,Medical,Research & Development,Manager,Travel_Rarely,14756,19730,836,33,14,8,High,Very High,High,High,Better,Excellent,2,21,0,0,2,Yes,3,2,4,No,5
67,Male,36,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,6499,22656,1195,95,13,11,High,Medium,Medium,Medium,Better,Excellent,1,6,5,0,3,No,0,3,2,No,6
68,Male,45,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,9724,18787,1339,59,17,7,High,Medium,High,Low,Better,Excellent,2,25,0,0,0,No,1,2,3,No,1
69,Male,35,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,2194,5868,664,79,13,1,Very High,Medium,High,Low,Good,Excellent,4,5,2,1,2,No,1,2,1,No,3
70,Male,36,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3388,21777,318,79,17,9,Low,Very High,Medium,High,Good,Excellent,0,2,0,0,0,Yes,1,0,1,Yes,1
71,Female,59,Single,Below College,Life Sciences,Sales,Sales Executive,Travel_Frequently,5473,24668,1225,57,11,1,Very High,Low,Medium,High,Good,Excellent,7,20,3,1,3,No,0,2,2,No,4
72,Male,29,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2703,4956,1328,76,23,2,Very High,High,High,Medium,Better,Outstanding,0,6,4,0,4,No,1,3,1,No,5
73,Male,31,Single,Master,Medical,Research & Development,Research Scientist,Travel_Rarely,2501,18775,1082,87,17,1,Medium,High,High,Medium,Better,Excellent,1,1,1,1,0,No,0,4,1,No,1
74,Male,32,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,6220,7346,548,66,17,1,Medium,Medium,High,Medium,Better,Excellent,1,10,4,0,9,No,2,3,2,No,10
75,Female,36,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3038,22002,132,55,12,6,Medium,Medium,Very High,Very High,Better,Excellent,3,5,0,0,0,No,0,3,1,No,1
76,Female,31,Single,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,4424,20682,746,61,23,8,Very High,High,High,Very High,Better,Outstanding,1,11,7,1,8,No,0,2,2,No,11
77,Male,35,Single,Master,Marketing,Sales,Sales Executive,Travel_Rarely,4312,23016,776,32,14,1,Medium,High,Medium,Low,Better,Excellent,0,16,13,2,8,No,0,2,2,No,15
78,Male,45,Married,Master,Other,Research & Development,Research Director,Travel_Rarely,13245,15067,193,52,14,6,Medium,Very High,High,Low,Best,Excellent,4,17,0,0,0,Yes,0,3,3,No,0
79,Male,37,Single,Master,Medical,Research & Development,Research Director,Travel_Rarely,13664,25258,397,30,13,7,Low,Low,High,High,Best,Excellent,4,16,2,0,2,No,0,3,3,No,5
80,Male,46,Divorced,College,Medical,Human Resources,Human Resources,Travel_Rarely,5021,10425,945,80,22,5,Very High,Medium,High,Medium,Better,Outstanding,8,16,2,0,2,Yes,1,2,2,No,4
81,Male,30,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,5126,15998,852,55,12,1,High,Very High,Medium,Very High,Good,Excellent,1,10,8,3,0,Yes,2,1,2,No,10
82,Male,35,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2859,26278,1214,30,18,1,Low,Medium,Medium,High,Better,Excellent,1,6,4,0,4,No,0,3,1,No,6
83,Male,55,Married,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,10239,18092,111,70,14,1,Very High,Low,High,Very High,Better,Excellent,3,24,0,1,0,No,1,4,3,No,1
84,Female,38,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Non-Travel,5329,15717,573,79,12,6,Very High,Medium,Low,Very High,Better,Excellent,7,17,11,1,9,Yes,3,3,2,No,13
85,Male,34,Married,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4325,17736,1153,94,15,1,High,Low,High,Medium,Better,Excellent,1,5,2,1,3,No,0,2,2,No,5
86,Male,56,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,7260,21698,1400,49,11,7,Low,Very High,Low,Very High,Good,Excellent,4,37,4,0,2,No,0,3,3,No,6
87,Male,23,Divorced,Below College,Technical Degree,Sales,Sales Representative,Travel_Rarely,2322,9518,541,62,13,2,High,High,High,Low,Better,Excellent,3,3,0,0,0,No,1,3,1,No,0
88,Male,51,Married,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2075,18725,432,96,23,9,Medium,Very High,High,Very High,Better,Outstanding,3,10,2,0,3,No,2,4,1,No,4
89,Male,30,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,4152,15830,288,99,19,2,Low,High,Medium,Very High,Better,Excellent,1,11,10,10,8,No,3,3,2,No,11
90,Male,46,Single,College,Medical,Sales,Sales Executive,Travel_Rarely,9619,13596,669,64,16,9,Very High,High,Medium,Very High,Better,Excellent,1,9,8,4,7,No,0,3,3,Yes,9
91,Male,40,Married,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,13503,14115,530,78,22,1,Very High,High,Medium,Medium,Good,Outstanding,1,22,3,11,11,No,1,3,4,No,22
92,Male,51,Single,Master,Marketing,Sales,Sales Executive,Travel_Rarely,5441,8423,632,71,22,21,Very High,High,High,Very High,Bad,Outstanding,0,11,7,1,0,Yes,0,2,2,No,10
93,Female,30,Divorced,College,Medical,Sales,Sales Executive,Travel_Rarely,5209,19760,1334,63,12,4,Medium,High,Medium,Medium,Good,Excellent,1,11,8,2,7,Yes,3,4,2,No,11
94,Male,46,Married,Bachelor,Medical,Research & Development,Healthcare Representative,Travel_Frequently,10673,3142,638,40,13,1,High,High,Medium,Low,Good,Excellent,2,21,9,9,5,Yes,1,5,3,No,10
95,Male,32,Single,Master,Medical,Sales,Sales Executive,Travel_Rarely,5010,24301,1093,87,16,6,Low,Medium,High,High,Better,Excellent,1,12,8,5,7,No,0,0,2,No,11
96,Female,54,Married,Master,Technical Degree,Research & Development,Research Director,Travel_Rarely,13549,24001,1217,60,12,2,Low,Low,High,High,Bad,Excellent,9,16,3,0,3,No,1,5,3,No,4
97,Female,24,Married,College,Other,Sales,Sales Executive,Travel_Rarely,4999,17519,1353,33,21,3,Low,Low,High,High,Good,Outstanding,0,4,2,0,2,No,1,2,2,No,3
98,Male,28,Married,Bachelor,Medical,Sales,Sales Executive,Non-Travel,4221,8863,120,43,15,4,Medium,Medium,High,High,Best,Excellent,1,5,4,0,4,No,0,3,2,No,5
99,Male,58,Single,Master,Medical,Sales,Sales Executive,Travel_Rarely,13872,24409,682,37,13,10,High,Very High,High,High,Good,Excellent,0,38,10,1,8,No,0,1,4,No,37
100,Male,44,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Non-Travel,2042,25043,489,67,12,23,High,Medium,High,Medium,Best,Excellent,4,17,2,1,2,No,1,3,2,No,3
101,Male,37,Divorced,Master,Human Resources,Human Resources,Human Resources,Travel_Rarely,2073,23648,807,63,22,6,Very High,High,High,Low,Better,Outstanding,4,7,2,0,2,Yes,0,3,1,Yes,3
102,Male,32,Single,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2956,15178,827,71,13,1,Very High,Very High,High,Low,Better,Excellent,1,1,0,0,0,No,0,2,1,No,1
103,Female,20,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,2926,19783,871,66,18,6,Medium,Very High,Medium,Very High,Better,Excellent,1,1,0,1,0,Yes,0,5,1,Yes,1
104,Female,34,Single,Master,Other,Research & Development,Research Scientist,Travel_Rarely,4809,12482,665,41,14,6,High,Low,High,High,Better,Excellent,1,16,13,2,10,No,0,3,2,No,16
105,Male,37,Divorced,College,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,5163,15850,1040,100,14,2,Very High,High,Medium,Very High,Best,Excellent,5,17,0,0,0,No,1,2,2,No,1
106,Female,59,Married,Master,Human Resources,Human Resources,Manager,Non-Travel,18844,21922,1420,32,21,2,Very High,High,Medium,Very High,Better,Outstanding,9,30,2,2,2,No,1,3,5,No,3
107,Female,50,Married,Bachelor,Life Sciences,Research & Development,Research Director,Travel_Frequently,18172,9755,1115,73,19,1,Low,Low,High,Medium,Good,Excellent,3,28,3,0,7,Yes,0,1,5,No,8
108,Male,25,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,5744,26959,240,46,11,5,Very High,High,Medium,High,Better,Excellent,1,6,4,0,3,Yes,0,1,2,Yes,6
109,Male,25,Married,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,2889,26897,1280,64,11,7,High,Very High,Medium,Very High,Better,Excellent,1,2,2,2,1,No,2,2,1,No,2
110,Female,22,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2871,23785,534,59,15,15,High,Medium,High,Very High,Better,Excellent,1,1,0,0,0,No,0,5,1,No,0
111,Female,51,Single,Master,Medical,Research & Development,Healthcare Representative,Travel_Frequently,7484,25796,1456,30,20,1,High,Low,Medium,Low,Good,Outstanding,3,23,12,12,8,No,0,1,3,No,13
112,Male,34,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,6074,22887,658,66,24,7,Very High,Low,Low,High,Better,Outstanding,1,9,7,0,6,Yes,0,3,2,Yes,9
113,Female,54,Single,Bachelor,Human Resources,Human Resources,Manager,Non-Travel,17328,13871,142,30,12,26,High,Very High,Very High,Very High,Better,Excellent,2,23,3,4,4,Yes,0,3,4,No,5
114,Male,24,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2774,13257,1127,52,12,18,High,Medium,High,High,Better,Excellent,0,6,3,1,2,No,1,2,1,No,5
115,Female,34,Divorced,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,4505,15000,1031,45,15,6,High,High,Medium,Medium,Better,Excellent,6,12,0,0,0,No,1,3,2,No,1
116,Male,37,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,7428,14506,1189,87,12,3,Low,High,High,Very High,Better,Excellent,2,12,3,1,3,No,0,3,3,No,5
117,Female,34,Single,Bachelor,Medical,Research & Development,Manager,Travel_Rarely,11631,5615,1354,45,12,5,Very High,High,Medium,Low,Better,Excellent,2,14,10,5,8,No,0,6,3,No,11
118,Female,36,Married,College,Technical Degree,Sales,Sales Executive,Travel_Frequently,9738,22952,1467,92,14,11,High,Medium,High,Very High,Better,Excellent,0,10,7,2,8,No,1,6,3,No,9
119,Female,36,Divorced,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2835,2561,922,39,22,3,Low,Low,High,Very High,Better,Outstanding,5,7,0,0,0,No,1,2,1,No,1
120,Male,43,Married,College,Life Sciences,Sales,Manager,Travel_Frequently,16959,19494,394,92,12,26,Very High,High,High,Very High,Best,Excellent,1,25,12,4,12,Yes,2,3,4,No,25
121,Male,30,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,2613,22310,1312,96,25,23,High,Low,Low,High,Good,Outstanding,1,10,7,0,9,No,3,2,1,No,10
122,Male,33,Married,College,Marketing,Sales,Sales Executive,Non-Travel,6146,15480,750,95,13,22,Low,High,High,Medium,Best,Excellent,0,8,7,0,7,No,1,2,2,No,7
123,Female,56,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,4963,4510,441,72,18,14,Low,Medium,High,Medium,Better,Excellent,9,7,4,4,3,Yes,3,2,1,Yes,5
124,Male,51,Single,Bachelor,Life Sciences,Research & Development,Research Director,Travel_Rarely,19537,6462,684,51,13,6,High,Low,High,High,Better,Excellent,7,23,18,15,15,No,0,5,5,No,20
125,Male,31,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,6172,20739,249,76,18,6,Medium,Medium,Low,High,Good,Excellent,4,12,7,7,7,Yes,0,3,2,Yes,7
126,Female,26,Married,Bachelor,Other,Research & Development,Research Scientist,Travel_Rarely,2368,23300,841,46,19,6,High,High,Medium,Medium,Good,Excellent,1,5,4,4,3,No,0,3,1,No,5
127,Female,58,Married,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,10312,3465,147,94,12,23,Very High,Very High,High,Very High,Good,Excellent,1,40,10,15,6,No,1,3,3,Yes,40
128,Male,19,Single,Below College,Marketing,Sales,Sales Representative,Travel_Rarely,1675,26820,528,50,19,22,Very High,Very High,High,High,Good,Excellent,1,0,0,0,0,Yes,0,2,1,Yes,0
129,Male,22,Married,Below College,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,2523,19299,594,100,14,2,High,High,High,Very High,Better,Excellent,0,3,1,2,1,No,1,2,1,No,2
130,Female,49,Married,Master,Medical,Research & Development,Manufacturing Director,Travel_Rarely,6567,5549,470,96,14,20,High,High,High,Low,Good,Excellent,1,16,11,5,11,No,0,2,2,No,15
131,Female,43,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,4739,16090,957,72,12,28,Very High,Medium,Very High,High,Better,Excellent,4,18,2,1,2,No,0,2,1,No,3
132,Female,50,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,9208,6645,809,77,11,12,Very High,High,High,Very High,Better,Excellent,4,16,2,2,1,No,0,3,3,No,2
133,Female,31,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,4559,24788,542,71,11,20,High,Medium,Low,High,Better,Excellent,3,4,2,2,2,Yes,1,2,2,Yes,2
134,Male,41,Divorced,Below College,Life Sciences,Sales,Sales Executive,Travel_Rarely,8189,21196,802,96,13,9,High,High,High,High,Better,Excellent,3,12,7,0,7,Yes,1,2,3,No,9
135,Female,26,Married,Below College,Life Sciences,Human Resources,Human Resources,Travel_Rarely,2942,8916,1355,61,23,25,Very High,High,High,High,Better,Outstanding,1,8,7,5,7,No,1,3,1,No,8
